k,gamma,Entropy,Complexity
1,0.1,0.999938141831969,6.102832257434803e-05
2,0.1,0.9983621610957315,0.0015997705953888807
4,0.1,0.983335013284744,0.015837725957323637
8,0.1,0.9503826691578403,0.045333479354760356
16,0.1,0.9202451661519939,0.07060039833409022
32,0.1,0.906492413445279,0.08163443841887143
64,0.1,0.9034463545337164,0.08403661365726325
128,0.1,0.9005760860544787,0.08629240188623981
128,0.16,0.9019160319110346,0.0852408680085677
64,0.16,0.9037240733240682,0.08382471356041933
16,0.16,0.9417575360558235,0.05272373737967701
32,0.16,0.9147881448390324,0.07502552593856311
4,0.16,0.997002083906294,0.0029152488610325556
2,0.16,0.9999364501763801,6.245867727612355e-05
1,0.16,0.9999756663181876,2.401336554782433e-05
8,0.16,0.9767099220575723,0.021932835958863882
1,0.22,0.9999759620602519,2.3713992473351523e-05
2,0.22,0.9999597659227023,3.983896659456264e-05
4,0.22,0.9996159050155536,0.00037695926056407206
8,0.22,0.9917561832503186,0.007939163046712593
16,0.22,0.9624166721629077,0.03479620011158651
32,0.22,0.9239812312518361,0.06754808070774908
64,0.22,0.9078783223470767,0.08053955794865664
128,0.22,0.9023630571460362,0.08489265211919239
32,0.28,0.9379979370162383,0.05590704423747397
128,0.28,0.9053124661872952,0.08257297930315703
64,0.28,0.9122339939640224,0.07706776714446263
16,0.28,0.9760527526723114,0.022537011344344385
2,0.28,0.9999325299729934,6.654455235059062e-05
4,0.28,0.9999317488929542,6.714916454405544e-05
1,0.28,0.9998945548497641,0.00010391301262552882
8,0.28,0.9966265147875515,0.0032773444662811493
1,0.34,0.999965891460511,3.356850152651068e-05
2,0.34,0.9999868132968458,1.3026296032881128e-05
4,0.34,0.9999779166115126,2.1763768823090354e-05
8,0.34,0.9990340669470138,0.00094514761078227
16,0.34,0.9862166299534469,0.013151755641816646
32,0.34,0.9494942324987841,0.046098391785169925
64,0.34,0.9177203004628149,0.07265416318120835
128,0.34,0.9059686704933803,0.08205390462776813
128,0.4,0.9100465058322729,0.07881255989541862
64,0.4,0.9220916506126493,0.06910067783276683
32,0.4,0.9583046127821929,0.03842712502508199
16,0.4,0.9914853400543214,0.008194473842602216
1,0.4,0.9999437764145483,5.533406754257045e-05
4,0.4,0.9999576623307787,4.1892982205960646e-05
2,0.4,0.9999506155698159,4.8737845494939257e-05
8,0.4,0.9996674710287606,0.00032677755721685105
32,0.46,0.9670255966665948,0.030693132696771232
128,0.46,0.9097102215964736,0.07908420540367997
64,0.46,0.9300260032522366,0.06256641142583703
16,0.46,0.9952264630124856,0.004624396968824277
2,0.46,0.9999435167723542,5.580370420756559e-05
4,0.46,0.9999584838517924,4.1047574063905395e-05
1,0.46,0.9999692514556017,3.0356992808412943e-05
8,0.46,0.9998388400489837,0.00015807887808585725
1,0.51,0.9999422367088345,5.7147116986445664e-05
64,0.51,0.9334039741356098,0.05975855953710656
32,0.51,0.9735772842835633,0.02479103216552826
16,0.51,0.9976747475830712,0.0022659171940579157
128,0.51,0.9151074009244048,0.07476376860283696
4,0.51,0.9999661450887387,3.3454233132773755e-05
2,0.51,0.9999387158688037,6.063638841407797e-05
8,0.51,0.9999415937212676,5.740162804628985e-05
1,0.57,0.9999695378964211,3.0020645730212885e-05
4,0.57,0.9999676452265697,3.1876162565904495e-05
8,0.57,0.9999452183842573,5.409334107568911e-05
16,0.57,0.9986287391117219,0.0013395483344009532
32,0.57,0.9800619220022706,0.018866847666097655
64,0.57,0.9392454660976421,0.05485248501107634
128,0.57,0.9167968592914374,0.07340429029439864
2,0.57,0.999951541575135,4.791299356660623e-05
32,0.63,0.9835913355465736,0.015597714911851305
128,0.63,0.9189548019817989,0.07165227546156033
64,0.63,0.9453996884476278,0.04960922629732445
16,0.63,0.9993304882105012,0.0006560055826588597
4,0.63,0.9999569838074722,4.24407531772139e-05
2,0.63,0.9999540848801304,4.522018277347208e-05
1,0.63,0.9999687833015093,3.080122960396587e-05
8,0.63,0.9999840587463033,1.5720995155560254e-05
64,0.69,0.9524402691690166,0.043548321786148654
32,0.69,0.9879658895768759,0.011512239530144557
16,0.69,0.9994876492462171,0.0005018522333430396
128,0.69,0.925564496987195,0.06625681030761293
4,0.69,0.9999723832883163,2.723625562783765e-05
2,0.69,0.9998699192110626,0.00012791123476373707
1,0.69,0.9999745851255236,2.5084746422516493e-05
8,0.69,0.9999652169008878,3.427292931049586e-05
1,0.75,0.9999393377917263,5.9819517181141816e-05
2,0.75,0.9999338344163496,6.536837479607337e-05
4,0.75,0.9999650787175072,3.445868177183771e-05
8,0.75,0.9999495207200016,4.978170589475614e-05
16,0.75,0.9998350509875792,0.00016201969716863064
32,0.75,0.9918419396321804,0.00785654859445663
64,0.75,0.9575066600760815,0.03913140666955451
128,0.75,0.9268956736383047,0.06515266647859932
32,0.81,0.9928323209250327,0.0069128750085752635
128,0.81,0.9308348417982647,0.06190104068705705
64,0.81,0.9625087016273428,0.03471723559911098
16,0.81,0.9999011972702415,9.704736262666343e-05
2,0.81,0.9999197370902964,7.949286077949548e-05
4,0.81,0.9999794553379586,2.027728065718343e-05
1,0.81,0.999972690162395,2.696162680179167e-05
8,0.81,0.9998929021687815,0.0001060496034793964
1,0.87,0.9999311711425038,6.773274009248363e-05
2,0.87,0.9999544634778358,4.4837473957305204e-05
4,0.87,0.9999302694884534,6.868778531673328e-05
8,0.87,0.9999866175330652,1.3210314148038812e-05
16,0.87,0.9998940657126635,0.00010403630060336755
32,0.87,0.9948397983019243,0.004997833123600751
64,0.87,0.9648470039903316,0.03264078219517582
128,0.87,0.9361779336632746,0.05743908379025937
128,0.93,0.9387060396107832,0.055304148902942996
64,0.93,0.9704742227735682,0.0275949461511653
32,0.93,0.9965055430271662,0.0033961034988859804
16,0.93,0.9999314717479173,6.736261197176586e-05
2,0.93,0.999945330676782,5.378088125070745e-05
4,0.93,0.9999406826390166,5.846026762946058e-05
1,0.93,0.9999450026407743,5.414065523499062e-05
8,0.93,0.9999786495808775,2.1061953483507298e-05
64,0.99,0.973597454205263,0.02477327456569003
128,0.99,0.9432860935411332,0.051417709611069694
8,0.99,0.9999296330147122,6.927718588017058e-05
32,0.99,0.9977703576817898,0.0021730243276557137
16,0.99,0.999952713813165,4.652785511323215e-05
4,0.99,0.999970417414847,2.9222390717120742e-05
2,0.99,0.9999502317624656,4.926187250414925e-05
1,0.99,0.9999642529724957,3.522983094059845e-05
64,1.05,0.977602517897948,0.021121924070003132
32,1.05,0.9982275458196367,0.0017307296121654666
16,1.05,0.9999608812221816,3.8540932419735e-05
128,1.05,0.9461269051704573,0.048997896459938906
4,1.05,0.9999652557529297,3.4351173244829524e-05
2,1.05,0.9999509187969269,4.831112563980898e-05
1,1.05,0.9999403376632755,5.8823040956715744e-05
8,1.05,0.9999448551112138,5.443910160892181e-05
1,1.11,0.9999727078711568,2.6939780336109403e-05
2,1.11,0.999955427933737,4.3983551145460896e-05
4,1.11,0.9999582154617128,4.129167589007899e-05
8,1.11,0.9999884280806538,1.1428285891869421e-05
16,1.11,0.9999244936571869,7.436654717235545e-05
32,1.11,0.9984021438004977,0.0015614200135755923
64,1.11,0.9794817315908501,0.019402270543153757
128,1.11,0.94787299069654,0.047494910527481435
128,1.17,0.9505486877251766,0.04519164641758464
64,1.17,0.9842817667555016,0.014956310729878887
32,1.17,0.9991809707058521,0.0008011311586472757
16,1.17,0.9999054338953153,9.315926889728953e-05
8,1.17,0.999943649701252,5.578778674173544e-05
2,1.17,0.9999479577424264,5.1379558496443866e-05
4,1.17,0.9999544399668109,4.491489710745178e-05
1,1.17,0.999945539968957,5.3716479447134675e-05
1,1.22,0.9999697816621623,2.981475328300621e-05
2,1.22,0.9999670008033992,3.2578225748152185e-05
4,1.22,0.9998176647471803,0.0001797199077657285
8,1.22,0.9999469962555598,5.247718935430189e-05
16,1.22,0.9999310696238626,6.776230920217122e-05
32,1.22,0.9993734118601967,0.0006136778296494508
64,1.22,0.9847013871367025,0.014568211325795206
128,1.22,0.9570537299875088,0.03953061108704636
2,1.28,0.9999574616687782,4.199551488357846e-05
128,1.28,0.9578722004463915,0.038809187447364925
64,1.28,0.9869040960501066,0.012508489907713465
32,1.28,0.999590213632249,0.0004015528347179093
1,1.28,0.9999791237650808,2.061865747608212e-05
8,1.28,0.9998480323320444,0.00015014371357263776
4,1.28,0.9999234327652705,7.559449401445065e-05
16,1.28,0.9998724897180343,0.00012585004948563252
16,1.34,0.9999419683169025,5.71857924402774e-05
64,1.34,0.9891136474267992,0.010432222374207973
32,1.34,0.999690131481098,0.00030409578728658705
128,1.34,0.9603762376990105,0.03660813939195957
8,1.34,0.9999847674592224,1.5045537389764767e-05
2,1.34,0.9999194049294705,7.98227549715892e-05
1,1.34,0.9999620643235496,3.750260309659866e-05
4,1.34,0.9999775660914639,2.2146777052095813e-05
64,1.4,0.9904242817051785,0.009198066385260226
32,1.4,0.999734328347343,0.00026042483934641213
16,1.4,0.9999589819168555,4.0425932441772645e-05
128,1.4,0.9630621314656869,0.034217770237767425
4,1.4,0.9999533683051138,4.604077384505933e-05
2,1.4,0.9998686610957606,0.0001297326523183115
1,1.4,0.9999739175280101,2.5723278526936643e-05
8,1.4,0.9999503741413314,4.889865547563172e-05
1,1.46,0.9999782192103727,2.1490059335264647e-05
2,1.46,0.9998944613600593,0.00010388709371854275
4,1.46,0.9999049274244389,9.403063766571364e-05
8,1.46,0.9999814238591385,1.8305503110862418e-05
16,1.46,0.9999435343511377,5.561350038503814e-05
32,1.46,0.9998540625828113,0.00014339629820089205
64,1.46,0.9918123702729351,0.007885188074475977
128,1.46,0.9674691198486213,0.030301644600365125
32,1.52,0.9999184723761874,8.014887365173798e-05
64,1.52,0.9919979599495206,0.0077054761968944705
16,1.52,0.9999868174182558,1.3012291755820251e-05
128,1.52,0.9691984611041442,0.028747087770773345
4,1.52,0.9999786450798557,2.1103030757333337e-05
2,1.52,0.9999277429543436,7.157605925607546e-05
1,1.52,0.9999453072602543,5.3992646041970775e-05
8,1.52,0.999891930712293,0.00010637411024773689
64,1.58,0.9946106055133199,0.0052159874095465365
32,1.58,0.9999318213073022,6.701468718334291e-05
